Postcode District,All usual residents,Males,Females
ME11,3407,1671,1736
ME12,36884,18773,18111
ME13,27959,13525,14434
ME14,31714,16075,15639
ME15,47659,23234,24425
ME16,30046,14678,15368
ME17,22389,11062,11327
ME18,6803,3327,3476
ME19,21797,10646,11151
ME2,39529,19336,20193
ME20,20645,10132,10513
ME3,26184,12856,13328
ME4,30191,15604,14587
ME5,51409,25271,26138
ME6,10211,4941,5270
ME7,51775,25930,25845
ME8,49214,23837,25377
ME9,20553,10156,10397
MK1,585,333,252
MK10,13825,6988,6837
MK11,7736,3776,3960
MK12,12492,6148,6344
MK13,18860,9409,9451
MK14,18700,9162,9538
MK15,7205,3522,3683
MK16,18500,8988,9512
MK17,17229,8469,8760
MK18,30663,15217,15446
MK19,11258,5585,5673
MK2,14316,6917,7399
MK3,22625,10990,11635
MK4,21867,11004,10863
MK40,31009,15761,15248
MK41,42537,20581,21956
MK42,44558,21652,22906
MK43,32983,16524,16459
MK44,15317,7502,7815
MK45,43049,21322,21727
MK46,9126,4423,4703
MK5,15438,7510,7928
MK6,28113,14208,13905
MK7,14559,7154,7405
MK8,12062,6001,6061
MK9,3366,1950,1416
N1,91056,44965,46091
N10,27992,13521,14471
N11,29879,14838,15041
N12,28898,14021,14877
N13,31783,15584,16199
N14,29956,14405,15551
N15,43718,22082,21636
N16,68567,33679,34888
N17,63538,31178,32360
N18,31742,15161,16581
N19,33752,16166,17586
N2,23968,11500,12468
N20,19024,9129,9895
N21,23500,11641,11859
N22,42851,21054,21797
N3,26534,12877,13657
N4,47291,23801,23490
